	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jul 12 22:59:25 2025

	Auto Mode
	Using maximum file size of 512000 kilobytes.
	Command line used: iozone -a -g 500m
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           32768   16384  1300977  4026004  5873508  6541968  6569172  3965598  7488308   4677689   6507894  4949044  6267793  6832386  7527681
           65536      64  1305654  3918720 10165300  7219986  9358244  3882466  8704506   8799245   8537693  3851891  3787772  8898372  8909332
           65536     128  1320222  4133203  9252716  6502322  9261757  4153877  9041796   9204383   9298413  3827593  3793260  9432425  9363664
           65536     256  1320653  4171085 11363847  8093974 12167689  4500160 10623380   8245478  10724094  4225977  4251732 11443325 11291492
           65536     512  1363604  4233593  9567358  6765258  9634762  4230530  9798938   9276135   9967721  3919614  3968278  9406602  9690467
           65536    1024  1373113  4360040  9556049  7082692  9721998  4279200  9691833   8915400   9854795  3973326  4138181  9481554  9278953
           65536    2048  1370901  4200276  9737841  6942447 10040906  4322400  9574356   9612189  10071441  3925268  4133949  9511739  9712037
           65536    4096  1350985  4176662  9574356  7039342 10096226  4212636  9401133   8735765  20396369  4052942  3989762  9531198  9887763
           65536    8192  1329924  4124087  8650268  7416943 11051787  4089848  7630239   6333912  11719470  3646136  4032489  8196061  8915111
           65536   16384  1311266  4006861  7259264  6848183  8634508  4064990  6609738   3097152   8301006  4422756  3219019  6648587  6810347
          131072      64  1320598  3659797  6635491  5111401 10117372  3933125  5740927   8770860   8727695  3801413  3530190  6617121  6840583
          131072     128  1310337  2744103  7040136  5065202 10183528  4153244  6639257   9473190  10001596  3873516  3110537  7089524  7304579
          131072     256  1353925  3061362  7248717  5390830 10215128  4256136  9146772   8531704   9280019  3956648  4009777  9128849  9478090
          131072     512  1353392  4076105  9408663  6844159  9626294  4204253  9360285   9281429  10672838  3905491  3538278  7243082  8126975
          131072    1024  1343335  4283662  7393483  6213418 10638965  4278927  7213714   9365706   9772080  3966583  3960468  8254863  9036417
          131072    2048  1364965  3963352  7136737  6108546 10995818  4317811  7316341   9504964   9644702  4021245  3982733  9560337  9729191
          131072    4096  1347104  3778603  7872683  7045368 10213800  4231957  9530505   8360185   9340882  3748561  3925486  8557868  9732119
